"Language_ID","boundness","boundness_st","ISO","Informativity","informativity_st","island_endemic","L1_pop","area","min_dist11k","min_dist25k","min_distCont"
"taya1257",0.466666666666667,1.08169016474567,"thz",0.313725490196078,0.101616758918108,FALSE,250000,208597.077707927,0,0,0
"tbol1240",0.211538461538462,-0.732177800616041,"tbl",0.313725490196078,0.101616758918108,FALSE,95300,2141.62409685086,0,0,0
"tean1237",0.115384615384615,-1.41579638052623,"tkw",0.225,-0.989221986705093,TRUE,520,185.746998703107,977846.268032695,977846.268032695,2081864.49675133
"teda1241",0.377358490566038,0.446741788134744,"tuq",0.195652173913043,-1.35003989511805,FALSE,40500,416508.229066728,0,0,0
"tedi1235",0.529411764705882,1.52778479885177,"ctd",0.326530612244898,0.259049794705422,FALSE,344000,7598.49442239851,0,0,0
"tehu1242",0.30188679245283,-0.0898343047758981,"teh",0.25,-0.681858583242202,FALSE,NA,24181.5532365143,0,0,0
"teke1275",0.39622641509434,0.580885811362404,"teg",0.288461538461538,-0.208991808683909,FALSE,139300,15417.1661026129,0,0,0
"tekt1235",0.404255319148936,0.637968374438004,"ttc",0.347826086956522,0.520867778134327,FALSE,4970,153.640201028436,0,0,0
"temi1246",0.307692307692308,-0.0485592207058485,"tea",0.26530612244898,-0.493676907652677,FALSE,28000,8324.14972461527,0,0,0
"tene1248",0.375,0.429973785231286,"dtk",0.294117647058824,-0.139452577131218,FALSE,127000,2676.69313008094,0,0,0
"tenn1246",0.450980392156863,0.970166506219144,"tex",0.5,2.39177545138671,FALSE,10000,92.3838653352577,0,0,0
"teop1238",0.230769230769231,-0.595454084634002,"tio",0.318181818181818,0.156405244383864,TRUE,5000,373.719082414173,265963.720277835,265963.720277835,1421666.37798217
"tera1251",0.155555555555556,-1.13019572936375,"ttr",0.285714285714286,-0.242768006866644,FALSE,101000,901.97557848983,0,0,0
"teri1250",0.229166666666667,-0.606847727632506,"tfr",0.387755102040816,1.01177649706352,FALSE,3300,3536.14656617306,0,0,0
"term1237",0.25,-0.458730368651964,"twu",0.215686274509804,-1.10372992132852,TRUE,30000,340.493499585427,12375.1464509048,12375.1464509048,457685.690711294
