"LANG_ISO","area","L1_pop","Bordering_LR","IE","PC_Phoible","PC_Creanza","min_dist11k","min_dist25k","min_distCont","max_areakm2","in_Phoible","in_Creanza","macroarea","macroarea_Africa","macroarea_Australia","macroarea_Eurasia","macroarea_North America","macroarea_Papunesia","macroarea_South America","macroarea_NA"
"buf",20564.4728809379,155000,6,FALSE,NA,25,0,0,0,NA,TRUE,FALSE,"Africa",1,0,0,0,0,0,0
"bug",22074.0877686692,5017800,27,FALSE,25,25,0,0,0,NA,FALSE,FALSE,"Papunesia",0,0,0,0,1,0,0
"buh",492.890216482803,9720,4,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Eurasia",0,0,1,0,0,0,0
"bui",1774.94222548523,4000,7,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"buj",225.839567877993,2000,3,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"buk",1015.49824764766,12000,11,FALSE,NA,26,0,0,0,NA,TRUE,FALSE,"Papunesia",0,0,0,0,1,0,0
"bul",101899.666455036,7807900,12,FALSE,164,27,0,0,0,NA,FALSE,FALSE,"Eurasia",0,0,1,0,0,0,0
"bum",50232.4975328548,858000,14,FALSE,36,29,0,0,0,NA,FALSE,FALSE,"Africa",1,0,0,0,0,0,0
"bun",2752.70435819263,135000,5,FALSE,31,29,0,0,0,NA,FALSE,FALSE,"Africa",1,0,0,0,0,0,0
"buo",972.75728995353,26500,4,TRUE,NA,14,265963.720277835,265963.720277835,1421666.37798217,8784.24771397654,TRUE,FALSE,"Papunesia",0,0,0,0,1,0,0
"bup",41.0242624515668,2300,2,TRUE,NA,NA,5792.67205027516,5792.67205027516,979283.637869166,4549.63887952734,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"buq",80.8151931473985,1190,3,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"bus",4357.59185132215,62000,5,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"but",177.046271860134,3600,8,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"buu",6334.54110217234,180000,7,FALSE,43,NA,0,0,0,NA,FALSE,TRUE,"Africa",1,0,0,0,0,0,0
"buv",50.5526565951295,480,1,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"buw",695.772511320785,5000,3,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"bux",335.559419398545,50000,5,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"buy",266.734705416486,8350,2,FALSE,36,NA,0,0,0,NA,FALSE,TRUE,"Africa",1,0,0,0,0,0,0
"buz",31.5621261908091,1000,4,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"bva",3773.12745946739,4100,5,FALSE,158,NA,0,0,0,NA,FALSE,TRUE,"Africa",1,0,0,0,0,0,0
"bvb",1563.89546005786,51000,1,TRUE,NA,NA,35592.4530549039,35592.4530549039,35592.4530549039,1957.95668749494,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"bvc",173.701356660575,8800,3,TRUE,NA,NA,986843.485627052,986843.485627052,1788741.37338826,3903.31355708279,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"bvd",115.21238733083,5900,3,TRUE,NA,NA,986843.485627052,986843.485627052,1788741.37338826,3903.31355708279,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"bve",6311.26652366179,NA,NA,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
